HOSPITAL OR CLNIC NAME ,PROVIDER TYPE,EMIRATE,ADDRESS,TELEPHONE,GOLD NETWORK,SILVER PREMIUM NETWORK,SILVER CLASSIC NETWORK,GREEN NETWORK,EMERALD NETWORK,PEARL NETWORK,DENTAL COVER,SPECIAL REMARKS
TASHAFI2 BR.ALFUTTAIM HEALTHCARE SINGLE PERSON COMPANY LLC,CLINIC,DUBAI,1301 1312  Arabian Center Mall  Al Khawaneej St,04-5967370,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,"""SILK ROAD & CITY NETWORK IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."""
"CITY CENTRE CLINIC,AL BARSHA SOUTH 2 (MAJID AL FUTTAIM HEALTHCARE LLC)",CLINIC,DUBAI,"MY CITY CENTRE AL BARSHA, B016, GROUND FLOOR, DUBAI. P O BOX 112222",04-2052894,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
CLOVER MEDICAL CENTER LLC,CLINIC,DUBAI,"307, WARSAN TOWER, NEAR MEDIA ROTANA HOTEL",04-3688062,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
SEVEN DIMENSIONS MEDICAL CENTER LLC - ARJAN,CLINIC,DUBAI,1st Floor Block A Diamond Business Center Arjan Exit - Dubai,04-2434777,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MEDI CENTRES POLYCLINIC LLC BRANCH (Except DERMATOLOGY (no agreed services),CLINIC,DUBAI,"AL FURJAN PAVILION SHOPPING MALL, NEXT TO SPINNEYS",04-2432672,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Except DERMATOLOGY (no agreed services)
"QUEENS DENTAL CENTER- KARAMA, DUBAI",CLINIC,DUBAI,"HAMDAN JUMA BUILDING, BEHIND KARAMA FISH MARKET , AL KARAMA, DUBAI", 04-3984445 ,Covered,Covered,Covered,Covered,Not Covered,Covered,Covered,
WE CARE MEDICAL CENTER LLC - DUBAI,CLINIC,DUBAI,"HAMSAH BUILDING, GROUND FLOOR ANSAR GALLERY, KHALID BIN AL WALEED ROAD, KARAMA, DUBAI.",04-2611061,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
MULTI CARE MEDICAL CENTRE LLC,CLINIC,DUBAI,"LATIFA BINT HAMDAN, AL KHAIL GATE COMMUNITY CENTRE , DUBAI",04-4245863,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,DENTAL SERVICES COVERED UPTO EBP NETWORK.
SULTAN AL OLAMA MEDICAL CENTER BRANCH - DUBAI,CLINIC,DUBAI,"F07, FIRST FLOOR, ALKHAWANEEJ ROAD, MUHAISANAH 1, SHOP ETIHAD MALL",04-2565550,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
BELLA ROSE MEDICAL CENTER - DUBAI (prev MAMZAR SMILES),CLINIC,DUBAI,"CAIRO STREET, MAMZAR BEACH 1, ",04-2964442,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,Covered,
PEARLS POLYCLINIC,CLINIC,DUBAI,"MAMZAR, 202, DUBAI ISLAMIC BANK BLDG., AL WUHEIDA ROAD",04-2387788,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
SYNERGY INTEGRATED MEDICAL CENTRE,CLINIC,DUBAI,AL MANARA ST,04-3485452,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
HEALTH BAY POLYCLINIC MARINA BR OF HEALTH BAY DAY SURGERY LLC - HEALTH BAY GROUP,HOSPITAL,DUBAI,"AL WASL ROAD, AL WAHA 4 BLDG., DUBAI",04-8004272,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
SULTAN AL OLAMA MEDICAL CENTER - BR - DUBAI,CLINIC,DUBAI,"OFFICE 2 FIRST FLOOR, INDIGO CENTRAL 7. OPPOSITE TIMES SQUARE MALL, EXIT 4, AL MANARA",04-3468686,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
"AL ALIAA POLYCLINIC LLC BRANCH, AL WASL- AL ALIAA POLYCLINIC",CLINIC,DUBAI,"VILLA 943, AL WASL ROAD,",04-3402217,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MEDICURE CENTER,CLINIC,DUBAI,"AL MANKHOUL, BEHIND EPPCO PETROL",04-3894866,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
ASTER MEDICAL CENTRE MUHAISNAH BR OF DM HEALTHCARE,CLINIC,DUBAI,"FIRST FLOOR , FLAT 4, MUHAISNAH PLAZA BUILDING, BEIRUT ST, NEAR AL MADEENA MALL",04-2592154,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
CLOVER MEDICAL CENTRE LLC BRANCH-DUBAI,CLINIC,DUBAI,"304, AL AHLI BUILDING, DUBAI",04-2633655,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
JUPITER ALNAHDA POLY CLINIC,CLINIC,DUBAI,AL NAHDA,04-2344429,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,ALTERNATIVE BENEFIT FOR HOMEOPATHY SERVICES ONLY.
DR. JOHN CLINIC,CLINIC,DUBAI,"AL NAHDA, AL MOZNA BLDG, AL QUSAIS",04-2617176,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ASTER AL NAHDA MEDICAL CENTER-DR. MOOPENS GRP,CLINIC,DUBAI,"AL NAHDA, AMAN ST., OPP. NMC SPECIALTY HOSPI",04-2399119,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
32 SMILE STONES DENTAL CARE CENTER LLC,CLINIC,DUBAI,"AL NAHDA, AMMAN STREET",04-2577211,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
"HEALTHHUB NBR ALFUTTAIM HEALTHCARE SINGLE PERSON COMPANY LLC, AL NAHDA (HEALTHHUB)",CLINIC,DUBAI,"Essa Saleh Al Gurg Building, Amman street Al Nahda-2, Dubai.",04-5967355,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,"""SILK ROAD IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."""
LOTUS DENTAL CLINIC LLC-DUBAI,CLINIC,DUBAI,"BAGHDAD STREET, AL NAHDA 2, DUBAI",04-3971667,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
"DULSCO MEDICAL CLINIC, AL QUOZ (DULSCO GROUP)",CLINIC,DUBAI,"1215 DULSCO VILLAGE, AL QUOZ, DUBAI UAE.",04-3232442,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"TOTAL CARE CLINIC BR AL FUTTAIM HEALTHCARE SINGLE PERSON COMPANY LLC, AL QOUZ (AL FUTTAIM)",CLINIC,DUBAI,"Salman Ebrahim Building, Salman Ebrahim street, Next to Al khail Mall, Behind Enoc petrol pump.",04-7062103,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,"""SILK ROAD IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."""
ASTER MEDICAL CENTRE AL QOUZ BR OF DM HEALTHCARE L LC,CLINIC,DUBAI,"ABDULLA AL ASMAWI BUILDING , GROUND FLOOR, SHOP:1-7 , LATIFA BINT HAMDAN STREET",04-4400500,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ACCESS CLINIC AL QOUZ BR OF DM HEALTHCARE,CLINIC,DUBAI,"AL ARIF BUILDING, NEAR UAE EXCHANGE, BEHIND CEMENT FACTORY, AL QUOZ",04-3217544,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ADVANCED CARE MEDICAL CENTER,CLINIC,DUBAI,AL QOUZ,04-4339766,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
KARAMA MEDICAL CENTER,CLINIC,DUBAI,"AL QOUZ LABOUR CAMP , GRAND SHOPPING MALL",04-3413645,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
DR. MOOPEN'S AL QUOZ MEDICAL CENTRE,CLINIC,DUBAI,"AL QOUZ, GRAND MALL, AL QUOZ",04-3387871,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
AL MURJAN MEDICAL CENTRE,CLINIC,DUBAI,AL QUOZ,04-3395575,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
AL KHAIL MEDICAL CENTRE,CLINIC,DUBAI,"AL QUOZ IND. AREA-3, AL QUOZ MALL",04-3306745,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
KARAMA MEDICAL CENTER BRANCH-AL QUOZ MALL,CLINIC,DUBAI,AL QUOZ INDUSTRIAL AREA 3,04-3388227,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"NEW SANAIYA CLINIC BRANCH, AL QUOZ- NEW SANAIYA GROUP",CLINIC,DUBAI,"AL QUOZ INDUSTRIAL AREA 3,",04-3791311,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SEKHER MEDICAL CLINIC,CLINIC,DUBAI,"AL QUOZ INDUSTRIAL AREA, FLAT NO. 104 1DT FLR ARABIAN GULF BLDG. AL QOUZ",04-3387749,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
AL SANAIYA CLINIC BR-AL QOUZ IND. AREA,CLINIC,DUBAI,"AL QUOZ, NEAR AL MADINA SUPERMARKET",04-3407548,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL BARSHA CLINIC ALQUOZ- MENA HEALTHCARE,CLINIC,DUBAI,BIN GALAITHA BUILDING ,04-3478285,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
LOTUS MEDICAL CENTER L.L.C,CLINIC,DUBAI,"FLAT 101, AL ROSTAMANI BUILDING, AL QUOZ",04-3465380,Covered,Covered,Covered,Covered,Covered,Covered,Covered,DENTAL SERVICES COVERED UPTO EBP & BASIC NETWORK.
PRIMECORP MEDICAL CENTER ALQUOZ LLC BRANCH - DUBAI (PRIME HEALTHCARE GROUP),CLINIC,DUBAI,"IBRI HOUSE MEZZANINE FLOOR, SHEIKH ZAYED RIAD OPPOSITE TO NOOR BANK METRO STATION, DUBAI, UAE",04-7070999,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Psychiatric Benefits Not Covered
"GREEN CITY MEDICAL CENTER LLC (Formerly known as NEW AL MUSALLA MEDICAL CENTER BRANCH, AL QUOZ)",CLINIC,DUBAI,OBEROI BUILDING NEAR BELHASA DRIVING CENTER,04-3333450,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ANAYA MEDICAL CENTER LLC,CLINIC,DUBAI,"OFFICE NO-104,FARNEK BUILDING,  AL QUOZ INDUSTRIAL AREA-3",04-3441615,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
KARAMA MEDICAL CENTRE BR. AL KHAIL GATE,CLINIC,DUBAI,"SHOP 41 & 42, NEW WEST ZONE MALL, AL KHAIL GATE, AL QUOZ",04-4533534,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AMALA MEDICAL CENTER LLC-DUBAI,CLINIC,DUBAI,"SHOP 9 & 10, SECOND FLOOR, AL KHAIL MALL",04-3306727,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
"PRIMECORP MEDICAL CENTER AL QUSAIS (FORMERLY KNOWN AS PRIME MEDICAL CENTER AL QUSAIS BR OF PRIME MEDICAL CENTER LL, AL QUSAIS (PRIME HEALTHCARE GROUP)",CLINIC,DUBAI,"GROUND FLOOR, ALQUSAIS PLAZA, DAMASCUS STREET, AL QUSAIS",04-6079876,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Psychiatric Benefits Not Covered
AL RAHIF MEDICAL CLINIC ,CLINIC,DUBAI,"VILLA 46,AL  NAHDA ROAD, AL QUSAIS 3",04-2647886,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
HEALTHHUB BR OF ALFUTTAIM HEALTHCARE SINGLE PERSON COMPANY LLC,CLINIC,DUBAI,"Ground Floor, 8-B Street, Manazel Deira Building, Next to Fortune Plaza Hotel, Qusais-1, Dubai",04-2085940,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,"""SILK ROAD IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."" NO CONSULTATION TO BE BILLED FOR IMMUNIZATION ENCOUNTER."
ASTER MEDICAL CENTRE AL QUSAIS BR OF DM HEALTHCARE,CLINIC,DUBAI,"SHOP NO: 2 & 3, AQU BUILDING, NEAR DUBAI AIRPORT FREE ZONE METRO STATION,  AL QUSAIS 1",04-2632202,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ASTER SPECIALIST CENTER FOR ORTHOPEDICS & PHYSIOTHERAPY,CLINIC,DUBAI,"SHOP # 1, GROUND FLOOR, AL AHBABI BUILDING, DAMASCUS STREET",04-3311006,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AXON MEDICA POLYCLINIC,CLINIC,DUBAI,"GROUND FLOOR, NEAR UNION COOPERATIVE SOCIETY, AL RASHIDIYA",04-2975462,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
"MYHEALTH MEDICAL CENTRE, DUBAI (AL SALAMA GROUP)",CLINIC,DUBAI,"UNIT NO 336, 3RD FLOOR, AL GHURAIR TOWER 2, AL RIGGA STREET, DEIRA, DUBAI.",04-2522100,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
DR.SULAIMAN AL HABIB MEDICAL CENTER BR OF DR SULAIMAN ALHABIB HOSPITAL,HOSPITAL,DUBAI,Plot 357-0709; Ground Floor;Al Safa 2;Indigo Central 1;Sheikh Zayed Road,04-5813333,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,"EFF: 07-FEB-2019 - Provider not eligible to accept the members for Policy Number: 253489 , Policy Group Name: DR. SULAIMAN HABIB HOSPITAL FZ"
PRIME MEDICAL CENTER BARSHA HEIGHTS BRANCH LLC (PRIME HEALTHCARE GROUP),CLINIC,DUBAI,"GROUND FLOOR, ONYX TOWER 1, BESIDE COSTA COFFEE, THE GREENS (AL THANYAH THIRD), DUBAI, UAE",04-7070999,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,Psychiatric Benefits Not Covered
PRIME MEDICAL CENTER AL WARQA (BR OF PRIME MEDICAL CENTER L.L.C) - PRIME HEALTHCARE GROUP,CLINIC,DUBAI,AL WARQA,04-7070999,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,Psychiatric Benefits Not Covered
AL WARQA MEDICAL CENTER,CLINIC,DUBAI,"WARQA AREA, MARS SUPERMARKET BLDG , ",04-2800899,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
"HEALTHHUB BR AL FUTTAIM HEALTH CARE SINGLE PERSON COMPANY LLC, AL WARQA (HEALTHHUB)",CLINIC,DUBAI,"WARSAN-1, WARSAN BUILDING, BUILDING # 77B - SHOP NO 2& 3 INTERNATIONAL CITY",04-7062103,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,"""SILK ROAD IS COVERED FOR AFG GROUP POLICY MEMBERS ONLY."""
ASTER BEAUTY CLINIC (BR OF DM HEALTHCARE LLC),CLINIC,DUBAI,"108 DAMAC TOWERS , GROUND FLOOR, LAZUWARD SW STREET , BARSHA SOUTH ,JUMEIRA VILLAGE CIRCLE, 8703",04-2800899,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ASTER ORTHOPEDICS AND PHYSIOTHERAPY CENTRE BR OF DM HEALTHCARE LLC - AL WARQA 1 - ASTER DM HEALTHCARE,CLINIC,DUBAI,"HANBAL AL MADANI BUILDING, GROUND FLOOE, NEAR DUBAI LIBRARY, AL WARQA - 1",04-2831026,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"PRIMECORP MEDICAL CENTER AL WARSAN BR OF PRIMECORP MEDICAL CENTER, AL WARSAN (PRIME HEALTHCARE GROUP)",CLINIC,DUBAI,"DUBAI MUNICIPALITY LABOR ACCOMMODATION, AL WARSAN 3, AL WARSAN, DUBAI, UAE",04-7070999,Covered,Covered,Covered,Covered,Not Covered,Covered,Covered,Psychiatric Benefits Not Covered
VIENNA DENTAL CLINIC LLC-AL WASL- DUBAI,CLINIC,DUBAI,"DUBAI MEDIA CITY, AL SHATHA TOWER, MEZZANINE, OFFICE NO.1",04 589 7990,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
DR.JOHNNY SAYEGH CLINIC,CLINIC,DUBAI,"SHK ZAYED ROAD, OFFICE 302, AL WADI BUILDING,",04-3806474,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MEDICA ZONE CLINIC-DUBAI ( Formerly known as SNOWDONIA MEDICAL CENTRE),CLINIC,DUBAI,"VILLA 18, AL WASL ROAD, UMM SUQUEIM 2",04-3383100,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,
DR DINA PEDIATRIC DENTISTRY CLINIC - DUBAI,CLINIC,DUBAI,"VILLA 248, AL WASL ROAD, OPPOSITE IRANIAN HOSPITAL, DUBAI, UAE.",04-3440055,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
SMILE DESIGN CLINIC-DUBAI,CLINIC,DUBAI,"VILLA G2U4 AL BADA, AL WASL ROAD, WAFA ADNAN MAWLOD",04-2395776,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
"HELLENIC DENTAL CENTER, DUBAI",CLINIC,DUBAI,VILLA G4 U1 AL WASL ROAD,04-3490422,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
AL SHAAB MEDICAL CENTER ,CLINIC,DUBAI,"TALAL STREET , GALADARI BLDG",04-2970870,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
ASTER ROYAL CLINIC ARABIAN RANCHES (BR OF D M HEALTHCARE LLC,CLINIC,DUBAI,"ARABIAN RANCHES 2, SHOPPING MALL, 1ST FLOOR",04-4560485,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MEDICLINIC ARABIAN RANCHES,CLINIC,DUBAI,"ARABIAN RANCHES, ARABIAN RANCHES",04-4453900,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,DR. MARC FRANCIS SINCLAIR (Consultant-Paediatric Orthopedic Surgeon) - Mediclinic will be collecting additional payment towards his consultation fee from the patients directly. THIS EXTRA AMOUNT IS NOT A SUBJECT FOR REIMBURSEMENT AND MEDNET WILL ONLY PAY THE AGREED CONSULTANT RATES WITH MEDICLINIC.
ASTER MEDICAL CENTRE REM RAAM BR OF DM HEALTHCARE LLC,CLINIC,DUBAI,AWEER,04-3333423,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
NOOR AL SHEFA AWEER -  DUBAI,CLINIC,DUBAI,"UNION CO-OPERATIVE BUILDING, FRUITS AND VEGETABLE MARKET",04-3886601,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
"AL LUBNANI MEDICAL CENTER LLC DUBAI BRANCH, BARSHA(LEBANON MEDICAL CENTER)",CLINIC,DUBAI,"605 Elite Business Center, Barsha 1, Dubai",04-2288766,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
SULTAN AL OLAMA MEDICAL CENTER BARSHA-(SULTAN AL OLAMA GROUP),CLINIC,DUBAI,"Flat No. 27, Ground Floor, Al Barsha Second, Al Barsha Mall",04-3244446,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MEDCARE MEDICAL CENTRE AL BARSHA  (BR OF MEDCARE HOSPITAL(L.L.C)),CLINIC,DUBAI,"AL BARSHA-1, 1ST STREET, TRIO BUILDING, NEAR GRANDIOSE STORES",04-3255015,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,
LAFAMILIA MEDICAL CENTER LLC - DUBAI,CLINIC,DUBAI,"I RISE TOWER, OFFICE 10 E1, HESSA STREET,DUBAI, UAE.",04-4430700,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL SHIFA INTERNATIONAL CLINIC,CLINIC,DUBAI,"101, AL SHAMALI BUILDING, AL FAHIDI STREET, OPPOSITE KFC, ABOVE REGAL TEXTILE",04-3519199,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
MUHAISNA SPECIALIST MEDICAL CENTRE,CLINIC,DUBAI,"1026 SULTAN BUILDING AL MUHAISNA, BUR DUBAI",04-2644155,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ABRIS MEDICAL CENTRE LLC- DUBAI,CLINIC,DUBAI,"1ST FLOOR, SOUQ AL KABEER BUILDING, AL FAHIDI STREET,MEENA BAZAR",04-3535356,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
DERMAMED CLINIC-DUBAI,CLINIC,DUBAI,"1ST FLOOR, WAFI MALL, DUBAI",04-3852222,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL RASHIDIYAH PRIVATE POLYCLINIC,CLINIC,DUBAI,"2ND FLOOR, RTA MULTI STORY PARKING BUILDING, OPP AMBASSADOR HOTEL",04-3939383,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
VIDA CLINICS LLC,CLINIC,DUBAI,"39 B, M FLOOR, AL RAIS SHOPING CENTER, ROLLA STREET, BUR DUBAI, DUBAI, UAE",04-3252525,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,
PRIME MEDICAL CENTRE BURDUBAI,CLINIC,DUBAI,"3RD FLOOR OF BURJUMAN CENTER, KHALID BIN AL WALEED ROAD, DUBAI, UAE",04-3570033,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,Psychiatric Benefits Not Covered
COSMOPOLITAN MEDICAL CENTRE,CLINIC,DUBAI,"AL FAHIDI STREET , AL FADNLANI BUILDING",04-3257457,Covered,Covered,Covered,Covered,Not Covered,Covered,Covered,
ASH TREE CLINIC LLC (prev. AMALA1 MEDICAL CENTER LLC),CLINIC,DUBAI,"AL FAHIDI STREET , BANK AREA",04-3533414,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
HARLEY INTERNATIONAL MEDICAL CLINIC,CLINIC,DUBAI,"AL MANKOUL STREET , NASAWAN BLDG.",04-3986677,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
MEDICAL SPECIALISTS CENTRE,CLINIC,DUBAI,AL MINA ROAD,04-3454040,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
ASTER JUBILEE MEDICAL COMPLEX (For EBP members - Specialist referral center only),CLINIC,DUBAI,"ASTER JUBILEE COMPLEX, KHALID BIN AL WALEED ROAD",04-3935115,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
FALCON MEDICAL CLINIC,CLINIC,DUBAI,"BANK STREET , ABOVE MIDDLE EAST BANK",04-3593660,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
GETWELL MEDICAL CENTER,CLINIC,DUBAI,"BANK STREET , MEDIC BUILDING",04-3595935,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
BADR AL SAMAA MEDICAL CENTRE,CLINIC,DUBAI,"BANK STREET, NEAR BURJUMAN CENTRE",04-3578681,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
GERMAN NEUROSCIENCE CENTER,CLINIC,DUBAI,"DHCC, AL RAZI BUILDING,BLOCK-A,2 FLOOR,CLINIC 2006",04-4298578,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
GMCCLINICS - WORLD TRADE CENTER BRANCH,CLINIC,DUBAI,"DUBAI WORLD TRADE CENTER,  APT. 206, BLOCK A",04-3313544,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL RAHA MEDICAL CLINIC ,CLINIC,DUBAI,"KHALID BIN WALID ROAD, KHALID BIN WALEED ROAD / 5TH FLR. FLT # 56 AL ABBAS BLG ",04-3517272,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
AL MUNIRA CLINIC ,CLINIC,DUBAI,"KHALID BIN WALID ROAD, OPP. ASCOT HOTEL. FLT # 201",04-3522813,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
AL WAHA CLINIC,CLINIC,DUBAI,"KHALID BIN WALID ROAD, RAMADA JUNCTION , EMIRATES ISLAMIC BANK , BENQ COMPUTER SHOWROOM .",04-3514150,Covered,Covered,Covered,Covered,Covered,Not Covered,Not Covered,
JANSONS STAR POLYCLINIC,CLINIC,DUBAI,"KHALID BIN WALID STREET , 1ST FLR ESA SALAH AL GURG BLDG ,",04-3933365,Covered,Covered,Covered,Covered,Not Covered,Covered,Not Covered,
UNICARE MEDICAL CENTRE-BRANCH,CLINIC,DUBAI,MANKHOOL ROAD,04-3980880,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
BETTERLIFE CLINIC LLC,CLINIC,DUBAI,"MANKHOOL ROAD, NEAR RAMADA HOTEL",04-3592255,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
PRIMACARE SPECIALITY CLINICS LLC (Former -AL MUSALLA MEDICAL CENTER),CLINIC,DUBAI,"Musalla Tower Building, 6th Floor, Bur Dubai, Dubai, UAE",04-3966123,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL MANSOOR MEDICAL CENTER,CLINIC,DUBAI,MUSSA BUILDING,04-3554040,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
JANSONS MEDICAL CENTER,CLINIC,DUBAI,"OPP. RAFAH POLICE STATION, KHYBER BUILDING, MEZZANINE FLOOR, ",04-3939011,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
DIGITAL POLYCLINIC,CLINIC,DUBAI,"OUD MEHTA ROAD, SUITE 110, OFFICE COURT",04-3355011,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,Covered,
UNICARE MEDICAL CENTER,CLINIC,DUBAI,"SHK. KHALIFA BIN ZAYED ROAD, BURJUMAN COMLPEX, 1ST FLOOR, BIN HAM BUILDING",04-3529292,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,
ACCES CLINIC BURDUBAI BR OF DM HEALTHCARE LLC,CLINIC,DUBAI,SOUQ AL KABEER BUILDING,04-3527300,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
PANACEA WELLNESS & MEDICAL CENTRE,CLINIC,DUBAI,"TARIQ BIN ZIYAD RD, EASA SALEH AL GURG BLDG-201",04-3582020,Covered,Covered,Covered,Covered,Covered,Not Covered,Covered,
DR. VINOD JAIN CLINIC,CLINIC,DUBAI,"TRADE CENTER ROAD, OPP BURJUMAN CENTER",04-3967979,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MEDICENTRES POLYCLINIC LCC BRANCH-MEDICENTRE GROUP (Except DERMATOLOGY (no agreed services),CLINIC,DUBAI,"DOWNTOWN BURJ RESIDENCES TOWER 6, GROUND FLOOR, MOHAMMED BIN RASHID BOULEVARD, DUBAI",04-2773470,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Except DERMATOLOGY (no agreed services)
DR. JOY DENTAL CLINIC LLC BRANCH,CLINIC,DUBAI," BURJUMAN BUSINESS TOWER, 10TH FLOOR, OFFICE 1003",04-3555357,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Covered,DENTAL IS COVERED UPTO SILKROAD ONLY.
TOOTHSMITHS DENTAL CENTRE DUBAI,CLINIC,DUBAI,"M06, BIN THANI BUILDING, NEAR BURJUMAN CENTRE",04-3577700,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
